中型车流量,大车流量,微型车流量,长车流量,车流量,轻型车流量
2377,1305,12653,2887,21263,2041
325,216,764,634,2236,297
742,423,2770,1209,5781,637
548,288,1364,362,2904,342
429,271,2163,365,3534,306
173,86,488,252,1138,139
423,270,1906,333,3284,352
55,13,852,17,1025,88
113,92,1569,64,1928,90
759,919,6241,2383,10972,670
348,158,1040,180,1961,235
214,110,916,124,1514,150
350,214,1385,319,2535,267
99,46,375,32,623,71
141,112,576,115,1059,115
115,69,430,57,776,105
161,143,1650,161,2262,147
350,238,1931,742,3579,318
345,201,3546,318,4720,310
224,195,2399,320,3323,185
387,258,1907,743,3589,294
230,112,640,103,1216,131
481,237,1561,313,2909,317
75,61,319,123,638,60
198,106,814,417,1676,141
240,144,879,215,1661,183
825,437,5852,613,8405,678
138,74,1634,112,2054,96
872,554,5401,833,8411,751
402,224,1848,776,3605,355
594,313,2169,862,4422,484
736,417,5525,463,7835,694
362,166,2086,303,3254,337
802,433,2417,1054,5294,588
431,218,909,595,2464,311
264,136,610,301,1508,197
120,78,370,286,947,93
185,125,487,286,1233,150
265,159,1075,414,2168,255
500,285,3181,381,4756,409
598,246,3439,515,5365,567
296,183,617,521,1858,241
266,161,626,497,1750,200
185,120,500,340,1315,170
264,166,1602,298,2596,266
312,172,607,525,1831,215
844,392,4810,760,7644,838
810,514,4535,811,7362,692
4,5,5,11,26,1
267,144,985,523,2159,240
291,173,763,490,1932,215
319,223,829,496,2163,296
1272,636,5840,1377,10278,1153
1434,814,5283,2126,10798,1141
314,189,1656,508,2982,315
769,484,4292,732,6879,602
538,372,1348,963,3666,445
318,168,1671,319,2764,288
427,224,1583,500,3079,345
115,52,417,49,714,81
414,235,1279,591,2861,342
1598,823,6317,2048,12041,1255
783,478,4725,757,7378,635
2429,1374,12981,3035,21872,2053
810,503,5885,1385,9293,710
206,97,693,146,1266,124
265,121,896,184,1633,167
599,362,2115,978,4511,457
364,219,1747,751,3415,334
567,308,1754,435,3480,416
550,294,1453,403,3122,422
253,111,657,98,1273,154
1005,587,4645,1681,8773,855
766,356,1926,493,4014,473
352,244,2716,694,4291,285
840,500,2515,652,5123,616
200,141,402,334,1224,147
125,93,265,234,812,95
208,144,735,352,1611,172
516,316,1408,369,2972,363
209,156,1369,687,2569,148
214,112,1680,118,2251,127
1100,796,5968,2438,11236,934
145,86,1069,101,1490,89
253,103,733,79,1341,173
