中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
137,"	2023-02-18 00:00:00",85,"8.1599999999999994E+001",1001,1674,85,0,23207,1895,"2.5E+000",1673
379,"	2023-02-17 00:00:00",344,"8.8099999999999994E+001",1001,3573,344,0,23192,4296,"4.2000000000000002E+000",3573
2455,"	2021-02-24 00:00:00",0,"9.2200000000000003E+001",1001,16007,2980,0,21082,21442,"1.21E+001",0
841,"	2018-07-16 00:00:00",566,"1.0259999999999999E+002",1001,5766,660,0,10421,8574,"1.8999999999999999E+000",741
1183,"	2021-02-23 00:00:00",0,"9.0200000000000003E+001",1001,9576,1366,0,21081,12125,"7.9000000000000004E+000",0
351,"	2023-02-13 00:00:00",196,"8.95E+001",1001,3631,196,0,23188,4178,"3.2999999999999998E+000",3631
1145,"	2021-02-22 00:00:00",0,"8.7700000000000003E+001",1001,9236,1363,0,21061,11744,"9.4000000000000004E+000",0
969,"	2021-02-21 00:00:00",0,"8.8E+001",1001,8208,1174,0,21041,10351,"7.0E+000",0
214,"	2023-02-09 00:00:00",123,"8.7900000000000006E+001",1001,2318,123,0,23171,2653,"2.3999999999999999E+000",2316
784,"	2021-02-20 00:00:00",0,"9.1200000000000003E+001",1001,6503,959,0,21021,8246,"4.7999999999999998E+000",0
1300,"	2017-03-29 00:00:00",756,"3.5E+001",1001,8070,1970,0,1681,13217,"1.2699999999999999E+001",1121
44,"	2023-02-07 00:00:00",14,"6.0899999999999999E+001",1001,631,14,0,23169,689,"1.1000000000000001E+000",631
22,"	2023-02-05 00:00:00",3,"7.6599999999999994E+001",1001,420,3,0,23167,445,"1.1000000000000001E+000",420
516,"	2021-02-19 00:00:00",0,"8.15E+001",1001,4631,562,0,21002,5709,"4.0E+000",0
452,"	2021-02-18 00:00:00",0,"8.7400000000000006E+001",1001,4567,443,0,21001,5462,"4.5E+000",0
76,"	2023-02-02 00:00:00",28,"5.9899999999999999E+001",1001,859,28,0,23152,963,8.0000000000000004E-001,859
36,"	2023-02-01 00:00:00",15,"5.9E+001",1001,453,16,0,23151,488,9.0000000000000002E-001,437
1006,"	2021-02-17 00:00:00",0,"9.0900000000000006E+001",1001,6917,1008,0,20981,8931,"6.5E+000",0
359,"	2021-02-16 00:00:00",0,"8.2900000000000006E+001",1001,3390,403,0,20961,4152,"5.4000000000000004E+000",0
0,"	2023-01-28 00:00:00",0,"4.65E+001",1001,1,0,0,23147,1,2.0000000000000001E-001,0
415,"	2021-02-15 00:00:00",0,"7.0099999999999994E+001",1001,3661,364,0,20941,4440,"4.2000000000000002E+000",0
239,"	2021-02-14 00:00:00",0,"6.8400000000000006E+001",1001,3226,171,0,20921,3636,"2.2000000000000002E+000",0
