中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
67,"	2023-01-21 00:00:00",0,"5.55E+001",1001,917,38,0,23139,1022,"1.3999999999999999E+000",0
228,"	2023-01-20 00:00:00",0,"6.9299999999999997E+001",1001,2365,140,0,23138,2733,"3.0E+000",0
250,"	2021-01-12 00:00:00",0,"9.7E+001",1001,3367,183,0,20601,3800,"2.3999999999999999E+000",0
51,"	2022-11-18 00:00:00",13,"5.8600000000000001E+001",1001,463,13,0,22952,526,"1.0E+000",462
151,"	2022-12-01 00:00:00",93,"1.003E+002",1001,1814,93,0,23008,2058,"1.5E+000",1814
126,"	2022-11-30 00:00:00",59,"6.5400000000000006E+001",1001,1317,59,0,23007,1503,"1.2E+000",1318
200,"	2021-01-18 00:00:00",0,"9.8200000000000003E+001",1001,2266,130,0,20661,2596,"2.2999999999999998E+000",0
34,"	2022-11-29 00:00:00",11,"5.5600000000000001E+001",1001,792,24,0,22989,613,9.0000000000000002E-001,568
88,"	2022-11-28 00:00:00",48,"6.2799999999999997E+001",1001,1252,48,0,22988,1388,"1.2E+000",1252
121,"	2021-01-16 00:00:00",0,"8.6400000000000006E+001",1001,1341,121,0,20641,1583,"2.0E+000",0
424,"	2023-02-22 00:00:00",326,"8.6599999999999994E+001",1001,4137,326,0,23211,4867,"4.0E+000",4117
341,"	2023-02-23 00:00:00",221,"8.4599999999999994E+001",1001,3051,221,0,23212,3613,"3.2000000000000002E+000",3051
120,"	2022-11-27 00:00:00",72,"8.2400000000000006E+001",1001,1371,72,0,22987,1563,"2.3999999999999999E+000",1371
55,"	2022-11-26 00:00:00",29,"7.7799999999999997E+001",1001,588,29,0,22973,672,"1.3999999999999999E+000",588
941,"	2023-02-26 00:00:00",729,"8.9599999999999994E+001",1001,7964,729,0,23215,9628,"5.7999999999999998E+000",7958
327,"	2023-02-27 00:00:00",212,"8.6799999999999997E+001",1001,3477,215,0,23216,4001,"3.1000000000000001E+000",3462
415,"	2021-01-15 00:00:00",0,"8.2799999999999997E+001",1001,4090,350,0,20622,4855,"3.8999999999999999E+000",0
312,"	2023-03-01 00:00:00",161,"8.3200000000000003E+001",1001,2662,161,0,23218,3132,"3.0E+000",2659
314,"	2023-03-02 00:00:00",256,"9.1900000000000006E+001",1001,3499,298,0,23219,3760,"4.7999999999999998E+000",3190
331,"	2023-03-03 00:00:00",244,"8.55E+001",1001,3063,262,0,23220,3463,"4.5E+000",2888
32,"	2022-11-25 00:00:00",15,"6.2100000000000001E+001",1001,586,21,0,22972,412,"1.1000000000000001E+000",365
10,"	2022-11-24 00:00:00",0,"7.3099999999999994E+001",1001,205,5,0,22971,220,"1.3999999999999999E+000",0
356,"	2023-03-06 00:00:00",213,"9.0299999999999997E+001",1001,4003,260,0,23223,3830,"3.3999999999999999E+000",3261
217,"	2023-03-07 00:00:00",164,"7.5299999999999997E+001",1001,2878,256,0,23224,2612,"4.5E+000",2231
351,"	2021-01-14 00:00:00",0,"8.1400000000000006E+001",1001,3373,221,0,20621,3945,"3.2000000000000002E+000",0
350,"	2023-03-09 00:00:00",201,"6.9700000000000003E+001",1001,3330,212,0,23226,3635,"2.7999999999999998E+000",3084
402,"	2023-03-10 00:00:00",353,"9.0299999999999997E+001",1001,4423,397,0,23227,4729,"3.7000000000000002E+000",3974
429,"	2023-03-11 00:00:00",379,"9.5400000000000006E+001",1001,4797,490,0,23228,5136,"5.5999999999999996E+000",4328
59,"	2022-11-23 00:00:00",0,"6.95E+001",1001,631,19,0,22970,709,"1.3E+000",0
55,"	2022-11-22 00:00:00",0,"9.1299999999999997E+001",1001,655,13,0,22969,723,"1.2E+000",0
88,"	2023-03-17 00:00:00",50,"9.2599999999999994E+001",1001,5066,466,0,23247,797,"4.7999999999999998E+000",659
875,"	2023-03-18 00:00:00",707,"8.8599999999999994E+001",1001,7872,707,0,23248,9454,"5.5999999999999996E+000",7872
45,"	2022-11-21 00:00:00",0,"6.9599999999999994E+001",1001,619,19,0,22968,683,"1.0E+000",0
